"Core","SampleAssignment","Moisture","Wetting","Suction","Homogenization","Amendments","class","abund","total","relabund"
18,"50-fm-precip-control-Intact","fm","precip",50,"Intact","control","aromatic",135,1418,9.52
18,"50-fm-precip-control-Intact","fm","precip",50,"Intact","control","condensed_arom",236,1418,16.64
18,"50-fm-precip-control-Intact","fm","precip",50,"Intact","control","unsaturated/lignin",650,1418,45.84
19,"1.5-fm-precip-C-Homogenized","fm","precip",1.5,"Homogenized","C","aliphatic",317,893,35.5
19,"1.5-fm-precip-C-Homogenized","fm","precip",1.5,"Homogenized","C","aromatic",91,893,10.19
19,"1.5-fm-precip-C-Homogenized","fm","precip",1.5,"Homogenized","C","condensed_arom",127,893,14.22
19,"1.5-fm-precip-C-Homogenized","fm","precip",1.5,"Homogenized","C","unsaturated/lignin",358,893,40.09
19,"1.5-fm-precip-C-Intact","fm","precip",1.5,"Intact","C","aliphatic",195,575,33.91
19,"1.5-fm-precip-C-Intact","fm","precip",1.5,"Intact","C","aromatic",18,575,3.13
19,"1.5-fm-precip-C-Intact","fm","precip",1.5,"Intact","C","condensed_arom",148,575,25.74
19,"1.5-fm-precip-C-Intact","fm","precip",1.5,"Intact","C","unsaturated/lignin",214,575,37.22
19,"50-fm-precip-C-Homogenized","fm","precip",50,"Homogenized","C","aliphatic",326,2792,11.68
19,"50-fm-precip-C-Homogenized","fm","precip",50,"Homogenized","C","aromatic",656,2792,23.5
19,"50-fm-precip-C-Homogenized","fm","precip",50,"Homogenized","C","condensed_arom",788,2792,28.22
19,"50-fm-precip-C-Homogenized","fm","precip",50,"Homogenized","C","unsaturated/lignin",1022,2792,36.6
19,"50-fm-precip-C-Intact","fm","precip",50,"Intact","C","aliphatic",1000,3703,27.01
19,"50-fm-precip-C-Intact","fm","precip",50,"Intact","C","aromatic",484,3703,13.07
19,"50-fm-precip-C-Intact","fm","precip",50,"Intact","C","condensed_arom",356,3703,9.61
19,"50-fm-precip-C-Intact","fm","precip",50,"Intact","C","unsaturated/lignin",1863,3703,50.31
20,"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","aliphatic",308,1435,21.46
20,"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","aromatic",204,1435,14.22
20,"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","condensed_arom",246,1435,17.14
20,"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","unsaturated/lignin",677,1435,47.18
20,"1.5-drought-groundw-C-Intact","drought","groundw",1.5,"Intact","C","aliphatic",524,1818,28.82
20,"1.5-drought-groundw-C-Intact","drought","groundw",1.5,"Intact","C","aromatic",263,1818,14.47
20,"1.5-drought-groundw-C-Intact","drought","groundw",1.5,"Intact","C","condensed_arom",89,1818,4.9
20,"1.5-drought-groundw-C-Intact","drought","groundw",1.5,"Intact","C","unsaturated/lignin",942,1818,51.82
20,"50-drought-groundw-C-Homogenized","drought","groundw",50,"Homogenized","C","aliphatic",581,3779,15.37
20,"50-drought-groundw-C-Homogenized","drought","groundw",50,"Homogenized","C","aromatic",839,3779,22.2
20,"50-drought-groundw-C-Homogenized","drought","groundw",50,"Homogenized","C","condensed_arom",673,3779,17.81
20,"50-drought-groundw-C-Homogenized","drought","groundw",50,"Homogenized","C","unsaturated/lignin",1686,3779,44.61
20,"50-drought-groundw-C-Intact","drought","groundw",50,"Intact","C","aliphatic",76,171,44.44
20,"50-drought-groundw-C-Intact","drought","groundw",50,"Intact","C","aromatic",9,171,5.26
20,"50-drought-groundw-C-Intact","drought","groundw",50,"Intact","C","condensed_arom",41,171,23.98
20,"50-drought-groundw-C-Intact","drought","groundw",50,"Intact","C","unsaturated/lignin",45,171,26.32
22,"1.5-fm-groundw-C-Homogenized","fm","groundw",1.5,"Homogenized","C","aliphatic",338,795,42.52
22,"1.5-fm-groundw-C-Homogenized","fm","groundw",1.5,"Homogenized","C","aromatic",36,795,4.53
22,"1.5-fm-groundw-C-Homogenized","fm","groundw",1.5,"Homogenized","C","condensed_arom",196,795,24.65
22,"1.5-fm-groundw-C-Homogenized","fm","groundw",1.5,"Homogenized","C","unsaturated/lignin",225,795,28.3
22,"1.5-fm-groundw-C-Intact","fm","groundw",1.5,"Intact","C","aliphatic",283,683,41.43
22,"1.5-fm-groundw-C-Intact","fm","groundw",1.5,"Intact","C","aromatic",44,683,6.44
22,"1.5-fm-groundw-C-Intact","fm","groundw",1.5,"Intact","C","condensed_arom",99,683,14.49
22,"1.5-fm-groundw-C-Intact","fm","groundw",1.5,"Intact","C","unsaturated/lignin",257,683,37.63
22,"50-fm-groundw-C-Homogenized","fm","groundw",50,"Homogenized","C","aliphatic",356,905,39.34
22,"50-fm-groundw-C-Homogenized","fm","groundw",50,"Homogenized","C","aromatic",106,905,11.71
22,"50-fm-groundw-C-Homogenized","fm","groundw",50,"Homogenized","C","condensed_arom",135,905,14.92
22,"50-fm-groundw-C-Homogenized","fm","groundw",50,"Homogenized","C","unsaturated/lignin",308,905,34.03
22,"50-fm-groundw-C-Intact","fm","groundw",50,"Intact","C","aliphatic",455,1299,35.03
22,"50-fm-groundw-C-Intact","fm","groundw",50,"Intact","C","aromatic",62,1299,4.77
22,"50-fm-groundw-C-Intact","fm","groundw",50,"Intact","C","condensed_arom",111,1299,8.55
22,"50-fm-groundw-C-Intact","fm","groundw",50,"Intact","C","unsaturated/lignin",671,1299,51.66
24,"1.5-drought-groundw-N-Homogenized","drought","groundw",1.5,"Homogenized","N","aliphatic",455,1817,25.04
24,"1.5-drought-groundw-N-Homogenized","drought","groundw",1.5,"Homogenized","N","aromatic",242,1817,13.32
24,"1.5-drought-groundw-N-Homogenized","drought","groundw",1.5,"Homogenized","N","condensed_arom",191,1817,10.51
24,"1.5-drought-groundw-N-Homogenized","drought","groundw",1.5,"Homogenized","N","unsaturated/lignin",929,1817,51.13
24,"1.5-drought-groundw-N-Intact","drought","groundw",1.5,"Intact","N","aliphatic",471,1297,36.31
24,"1.5-drought-groundw-N-Intact","drought","groundw",1.5,"Intact","N","aromatic",138,1297,10.64
24,"1.5-drought-groundw-N-Intact","drought","groundw",1.5,"Intact","N","condensed_arom",137,1297,10.56
